commit	val_sharpe	peak_vram_mb	status	description
9bc8284	2.225530	4.7	keep	baseline mapping=sigmoid(logits-2.5); median_turnover=0.094634; median_drawdown=0.017393; median_exposure=0.103435; fold_sharpes=[1.8481,2.6029,3.0179,-0.2999]
9bc8284	2.064496	5.2	discard	exp recency_linear_0.75_1.25 in PolicyMLP input; val_sharpe=2.064496; median_turnover=0.164526; median_drawdown=0.027327; median_exposure=0.128431; fold_sharpes=[1.7337,2.3953,2.9908,-0.3019]; revert worse sharpe and higher turnover/drawdown without fold_4 improvement
9bc8284	2.247539	5.2	keep	exp recency_linear_0.9_1.1 in PolicyMLP input with baseline mapping=sigmoid(logits-2.5); val_sharpe=2.247539; median_turnover=0.091414; median_drawdown=0.017594; median_exposure=0.101487; fold_sharpes=[1.9825,2.5126,2.9554,-0.3010]; keep slight sharpe gain and lower turnover without material exposure collapse
9bc8284	2.247087	5.2	discard	exp recency_geom_0.9_1.1 in PolicyMLP input with baseline mapping=sigmoid(logits-2.5); val_sharpe=2.247087; median_turnover=0.091261; median_drawdown=0.017559; median_exposure=0.101431; fold_sharpes=[1.9800,2.5142,2.9547,-0.3013]; revert primary metric slightly worse and no fold_4 improvement
9bc8284	2.248084	5.3	keep	exp recency_linear_0.95_1.05 in PolicyMLP input with baseline mapping=sigmoid(logits-2.5); val_sharpe=2.248084; median_turnover=0.093135; median_drawdown=0.017512; median_exposure=0.102516; fold_sharpes=[1.9402,2.5559,2.9957,-0.3006]; keep small sharpe gain with near-flat risk metrics and slightly better fold_4
9bc8284	2.248084	5.3	keep	baseline mapping=sigmoid(logits-2.5); input_recency_bias=linear(0.95,1.05); median_turnover=0.093135; median_drawdown=0.017512; median_exposure=0.102516; fold_sharpes=[1.9402,2.5559,2.9957,-0.3006]
9bc8284	NA	NA	blocked	automation 2026-03-28: round_1 aborted before evaluation; proposed causal_3step_temporal_smoothing in train.py but reverted unchanged because required command \ failed with zsh: command not found: uv
9bc8284	NA	NA	blocked	automation 2026-03-28: round_1 proposed causal_3step_temporal_smoothing in PolicyMLP input path; executed uv run train.py > run.log 2>&1 after fixing PATH and UV_CACHE_DIR, but MLX crashed during Metal initialization (NSRangeException in libmlx) before metrics; reverted to baseline and stopped
9bc8284	NA	NA	blocked	automation 2026-03-28: round_1 proposed causal_3step_temporal_smoothing in PolicyMLP input path; executed uv run train.py > run.log 2>&1 with PATH=$HOME/.local/bin and UV_CACHE_DIR=/tmp/uv-cache-googl-sharpe-loop, but MLX crashed during Metal initialization before any metrics; reverted to baseline and stopped further iterations
9bc8284	NA	NA	blocked	automation 2026-03-28: pre-round diagnostics confirmed uv works only with UV_CACHE_DIR=/tmp but any uv run train.py attempt still crashes on import mlx.core with NSRangeException in libmlx Metal Device initialization; no supported CPU/backend env override found from installed binaries, so train.py remained at baseline and iteration stopped before round_1
9bc8284	NA	NA	blocked	automation 2026-03-28: requested controlled loop stopped before round_1; intended single change was causal_3step_temporal_smoothing in PolicyMLP input path, but required PATH=$HOME/.local/bin UV_CACHE_DIR=/tmp/uv-cache-googl-sharpe-loop uv run train.py > run.log 2>&1 exited 134 because importing mlx.core crashes in libmlx Metal device initialization (NSRangeException), so no val_sharpe/turnover/drawdown/exposure/fold_sharpes were produced and baseline remained unchanged
9bc8284	NA	NA	revert	automation 2026-03-28 round_1: exp causal_3step_temporal_smoothing on PolicyMLP input path with baseline mapping=sigmoid(logits-2.5) and input_recency_bias=linear(0.95,1.05); first required uv run train.py > run.log 2>&1 failed because uv cache under /Users/willcoming/.cache/uv was not permitted, rerun with UV_CACHE_DIR=/tmp/uv-cache-googl-sharpe-loop still exited 134 when importing mlx.core due NSRangeException in libmlx Metal device initialization; no val_sharpe/median_turnover/median_drawdown/median_exposure/fold_sharpes produced, reverted to baseline and stopped
9bc8284	NA	NA	revert	automation 2026-03-28 round_1: exp causal_3step_temporal_smoothing on PolicyMLP input path while keeping baseline mapping=sigmoid(logits-2.5) and input_recency_bias=linear(0.95,1.05); required command PATH=$HOME/.local/bin UV_CACHE_DIR=/tmp/uv-cache-googl-sharpe-loop uv run train.py > run.log 2>&1 exited 134 before any training output because importing mlx.core crashed with NSRangeException in libmlx Metal device initialization; val_sharpe/median_turnover/median_drawdown/median_exposure/fold_sharpes unavailable, reverted to baseline and stopped under temporary-best rule
